id,scheme_name,short_name,category,sponsoring_agency,level,target_beneficiaries,description,benefits,eligibility_criteria,documents_required,application_process,official_url,myscheme_url
pm-kisan,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),PM-KISAN,Direct Income Support,"Ministry of Agriculture & Farmers Welfare, Govt of India",Central,All landholding farmer families with cultivable land,"Financial benefit of ₹6,000 per year is provided in three equal four-monthly installments of ₹2,000 directly into the bank accounts of farmer families across the country via DBT.","₹6,000/year direct cash transfer in 3 installments (₹2,000 every 4 months)","{'farmer_type': ['Marginal (< 1 ha)', 'Small (1-2 ha)', 'Medium (2-10 ha)', 'Large (> 10 ha)'], 'land_size_max_acres': 100, 'states': ['All States'], 'exclusions': 'Institutional landholders, farmer families holding constitutional posts, serving/retired government employees, income tax payers.', 'crops': ['All Crops']}","['Aadhaar Card', 'Land Ownership Documents (7/12, Khasra/Khatauni)', 'Bank Account Details (Aadhaar linked)', 'Active Mobile Number']",Apply online at pmkisan.gov.in or visit the nearest Common Service Centre (CSC) / Village Agriculture Officer with land papers.,https://pmkisan.gov.in/,https://www.myscheme.gov.in/schemes/pmkisan
pmfby,Pradhan Mantri Fasal Bima Yojana (PMFBY),PMFBY,Crop Insurance & Risk Mitigation,"Ministry of Agriculture & Farmers Welfare, Govt of India",Central & State Joint,"Farmers growing notified food crops, oilseeds, and annual horticultural crops","Comprehensive risk insurance covering yield losses from non-preventable natural risks (drought, flood, unseasonal rains, pest attacks, post-harvest losses). Farmers pay minimal uniform premium.","Comprehensive crop loss compensation. Low premium: 2% for Kharif crops, 1.5% for Rabi crops, 5% for annual commercial/horticultural crops.","{'farmer_type': ['All Farmers', 'Loanee Farmers', 'Non-Loanee Farmers', 'Sharecroppers', 'Tenant Farmers'], 'land_size_max_acres': 100, 'states': ['All Participating States'], 'crops': ['Rice', 'Wheat', 'Maize', 'Cotton', 'Soybean', 'Pulses', 'Oilseeds', 'Sugarcane', 'Horticulture']}","['Aadhaar Card', 'Land Possession Certificate / Tenancy Agreement', 'Sowing Certificate / Crop Declaration', 'Bank Passbook']","Enroll through Bank branch, CSC centre, or online at pmfby.gov.in before the cutoff date for the respective season.",https://pmfby.gov.in/,https://www.myscheme.gov.in/schemes/pmfby
pmksy-micro-irrigation,PMKSY - Per Drop More Crop (Micro Irrigation Scheme),PMKSY (PDMC),Irrigation & Water Conservation,Department of Agriculture and Farmers Welfare (DA&FW),Central Sponsored,"Small, marginal, and other farmers adopting drip and sprinkler irrigation","Promotes precision water management through Drip and Sprinkler irrigation systems to save water, reduce fertilizer cost, and boost crop productivity.",55% capital subsidy for Small & Marginal farmers; 45% capital subsidy for other farmers on installation cost of drip/sprinkler systems.,"{'farmer_type': ['Marginal (< 1 ha)', 'Small (1-2 ha)', 'Medium (2-10 ha)', 'Large (> 10 ha)'], 'land_size_max_acres': 12.5, 'states': ['All States'], 'crops': ['Sugarcane', 'Cotton', 'Vegetables', 'Fruits', 'Banana', 'Grapes', 'Pomegranate', 'Pulses', 'Maize']}","['Aadhaar Card', 'Land Record (7/12 & 8A)', 'Water Source & Electricity Availability Certificate', 'Soil & Water Test Report', 'Bank Passbook']","Apply on the State Agriculture / Horticulture Department portal (e.g. MahaDBT in Maharashtra, Hortnet) or block horticulture office.",https://pmksy.gov.in/,https://www.myscheme.gov.in/schemes/pmksy-pdmc
kisan-credit-card,Kisan Credit Card (KCC) Scheme,KCC,Agricultural Credit & Finance,Reserve Bank of India (RBI) & NABARD,Central,"Individual/joint agricultural borrowers, tenant farmers, SHGs, allied animal husbandry & fisheries farmers","Provides timely and adequate credit to farmers for meeting cultivation expenses, post-harvest costs, working capital for maintenance of farm assets, and allied activities at subsidized interest.",Collateral-free loan up to ₹1.60 Lakh (up to ₹3 Lakh with land mortgage). Effective interest rate of only 4% per annum upon prompt repayment (7% base - 3% prompt repayment subvention).,"{'farmer_type': ['All Farmers', 'Tenant Farmers', 'Sharecroppers', 'Oral Lessees', 'Fisheries/Dairy Farmers'], 'land_size_max_acres': 100, 'states': ['All States'], 'crops': ['All Agricultural & Horticultural Crops', 'Dairy', 'Poultry', 'Fisheries']}","['Application Form', 'Identity & Address Proof (Aadhaar/Voter ID)', 'Land Records showing cropping pattern', 'No-Dues Certificate from adjacent banks']","Submit 1-page KCC application to any Commercial Bank, Regional Rural Bank (RRB), or Cooperative Bank branch.",https://www.myscheme.gov.in/schemes/kcc,https://www.myscheme.gov.in/schemes/kcc
soil-health-card,Soil Health Card (SHC) Scheme,Soil Health Card,Soil Testing & Nutrient Management,"Ministry of Agriculture & Farmers Welfare, Govt of India",Central,All farmers across India,"Provides customized soil fertility status report containing status of 12 nutrient parameters (N, P, K, S, Zn, Fe, Cu, Mn, Bo, pH, EC, OC) along with customized dosage recommendations of fertilizers and bio-fertilizers.",Free comprehensive soil health analysis and tailored fertilizer dosage advisory to cut excessive chemical input costs by 15-25% and increase yield by 8-10%.,"{'farmer_type': ['All Farmers'], 'land_size_max_acres': 100, 'states': ['All States'], 'crops': ['All Crops']}","['Farmer Name & Phone', 'Land Survey Number / Khasra No', 'Soil Sample Collection Tag']",Collect soil sample as per standard protocol and submit to Village Agriculture Assistant or District Soil Testing Laboratory (STLs).,https://soilhealth.dac.gov.in/,https://www.myscheme.gov.in/schemes/shc
smam-farm-mechanization,Sub-Mission on Agricultural Mechanization (SMAM),SMAM,Farm Machinery & Mechanization Subsidy,"Ministry of Agriculture & Farmers Welfare, Govt of India",Central Sponsored,"Individual farmers, Custom Hiring Centres (CHCs), Farmer Producer Organizations (FPOs)","Offers financial assistance for purchasing modern agricultural machinery (tractors, power tillers, rotavators, drone sprayers, laser land levelers, harvesters) to reduce labor dependency.",40% to 50% subsidy on purchase of farm equipment for general category; up to 50%-60% subsidy for SC/ST/Women/Small & Marginal farmers. Up to 80% subsidy for setting up Custom Hiring Centres.,"{'farmer_type': ['Marginal (< 1 ha)', 'Small (1-2 ha)', 'Medium (2-10 ha)', 'Large (> 10 ha)', 'FPOs', 'Women Farmers'], 'land_size_max_acres': 50, 'states': ['All States'], 'crops': ['All Crops']}","['Aadhaar Card', 'Land Records (7/12 & 8A / RTC)', 'Caste Certificate (if applicable)', 'Bank Passbook', 'Quotations from Authorized Machinery Dealer']","Register on agrimachinery.nic.in / State Agriculture DBT portal, upload dealer quotation, and track lottery/allotment status.",https://agrimachinery.nic.in/,https://www.myscheme.gov.in/schemes/smam
pm-kusum-solar-pump,PM-KUSUM Scheme (Solar Agricultural Pumps),PM-KUSUM,Solar Energy & Irrigation,Ministry of New and Renewable Energy (MNRE),Central & State Joint,"Individual farmers, groups of farmers, Water User Associations (WUAs)",Provides subsidies for installing standalone off-grid solar agricultural water pumps (up to 7.5 HP) and solarization of existing grid-connected agriculture pumps. Farmers can also sell surplus power back to DISCOMs.,Up to 60% subsidy (30% Central + 30% State Govt) on standalone solar pumps; 30% bank loan available; farmer only pays remaining 10% capital.,"{'farmer_type': ['All Farmers', 'Small & Marginal Farmers Preferred'], 'land_size_max_acres': 50, 'states': ['All States (Maharashtra, Rajasthan, MP, Haryana, Gujarat, etc.)'], 'crops': ['All Irrigated Crops']}","['Aadhaar Card', 'Land Ownership Proof', 'Bank Details', 'Passport Photos', 'Declaration of Water Source']","Apply through State Nodal Renewable Energy Agency portal (e.g. Mahaurja in Maharashtra, RREC in Rajasthan) or Discom portal.",https://pmkusum.mnre.gov.in/,https://www.myscheme.gov.in/schemes/pm-kusum
pkvy-organic-farming,Paramparagat Krishi Vikas Yojana (PKVY),PKVY,Organic Farming & Certification,Department of Agriculture and Farmers Welfare (DA&FW),Central Sponsored,Farmers forming clusters of 20-50 hectares for organic cultivation,"Promotes organic farming through cluster approach and Participatory Guarantee System (PGS) certification. Provides financial assistance for organic inputs, processing, packaging, and marketing.","₹50,000 per hectare for 3 years, of which ₹31,000 (62%) is directly transferred to farmers for organic inputs (seeds, bio-fertilizers, vermicompost, bio-pesticides).","{'farmer_type': ['All Farmers in Cluster Groups'], 'land_size_max_acres': 5, 'states': ['All States'], 'crops': ['Organic Cereals', 'Pulses', 'Spices', 'Medicinal Plants', 'Fruits', 'Vegetables']}","['Aadhaar Card', 'Land Document', 'Cluster Group Membership Form', 'Bank Account Details']",Join or form a local 20-50 ha farmer cluster through the District Agriculture Officer or ATMA Project Director.,https://pgsindia-ncof.gov.in/,https://www.myscheme.gov.in/schemes/pkvy
midh-horticulture,Mission for Integrated Development of Horticulture (MIDH),MIDH,Horticulture Development & Polyhouse Subsidy,"Ministry of Agriculture & Farmers Welfare, Govt of India",Central Sponsored,"Fruit, vegetable, flower, spice, and aromatic crop growers","Holistic growth of horticulture sector covering protected cultivation (greenhouses, shade net houses), high-density planting, mushroom cultivation, and cold chain post-harvest facilities.","40% to 50% subsidy on setting up Naturally Ventilated Polyhouses, Shade Net Houses, Drip Irrigation, Pack Houses, and Cold Storage units.","{'farmer_type': ['All Farmers', 'Horticultural Growers'], 'land_size_max_acres': 25, 'states': ['All States'], 'crops': ['Tomato', 'Capsicum', 'Cucumber', 'Banana', 'Mango', 'Pomegranate', 'Flowers', 'Spices']}","['Land Records', 'Detailed Project Report (DPR) for Polyhouse/Cold Storage', 'Aadhaar Card', 'Bank Account Details']",Submit project proposal to District Horticulture Officer (DHO) / State Horticulture Mission portal.,https://midh.gov.in/,https://www.myscheme.gov.in/schemes/midh
aif-agri-infra-fund,Agriculture Infrastructure Fund (AIF),AIF,Post-Harvest Infrastructure & Cold Chain,"Ministry of Agriculture & Farmers Welfare, Govt of India",Central,"Primary Agricultural Credit Societies (PACS), FPOs, Agri-entrepreneurs, Individual Farmers",Medium-long term debt financing facility for investment in viable projects for post-harvest management infrastructure and community farming assets.,"3% per annum interest subvention on loans up to ₹2 Crore for a maximum period of 7 years, along with Credit Guarantee coverage under CGTMSE.","{'farmer_type': ['Individual Farmers', 'FPOs', 'Self Help Groups', 'Agri-Entrepreneurs'], 'land_size_max_acres': 100, 'states': ['All States'], 'crops': ['All Agricultural & Horticultural Produce']}","['Detailed Project Report (DPR)', 'Land Document / Lease Agreement', 'KYC Documents', 'ITR & Financial Statements']",Register and submit online DPR application at agriinfra.dac.gov.in.,https://agriinfra.dac.gov.in/,https://www.myscheme.gov.in/schemes/aif
